text,label
今天好开心呀,0
我真的好难过,0
早上好,0
晚上好呀,0
哈喽,0
给我讲个笑话吧,0
好无聊啊,0
陪我聊聊天,0
我今天好生气,0
有点emo了,0
烦死了,0
安慰我一下,0
你真可爱,0
你好笨呀,0
不想学习了,0
想摆烂了,0
早八真的好痛苦,0
今天天气真好,0
下雨了好烦,0
风好大哦,0
想吃火锅了,0
奶茶好好喝,0
减肥好难啊,0
熬夜冠军就是我,0
睡不着怎么办,0
想家了,0
想爸爸妈妈了,0
和朋友吵架了,0
失恋了好伤心,0
单身好快乐,0
恋爱好甜呀,0
你会唱歌吗,0
唱首歌听听,0
你会跳舞吗,0
你有什么爱好,0
你多大啦,0
你是男生还是女生,0
随便聊聊呗,0
没啥事就想说话,0
你在干嘛呢,0
摸鱼中勿扰,0
上课摸鱼好快乐,0
老师讲的听不懂,0
作业好多啊,0
考试好难,0
挂科了好难过,0
终于考完啦,0
毕业好迷茫,0
周末去哪玩,0
放假好开心,0
不想上课,0
图书馆人好多,0
占座真讨厌,0
社团活动好有趣,0
部门聚餐超开心,0
室友都好好呀,0
宿舍关系好难搞,0
社团招新好热闹,0
竞选失败了好难过,0
拿到奖学金啦,0
比赛拿奖了太棒了,0
补考好紧张,0
论文写不出来了,0
ddl赶不完了,0
查重率好高,0
答辩好紧张,0
毕业照拍好了,0
舍不得毕业,0
拆快递好快乐,0
网购踩雷了好气,0
优惠券没用到好亏,0
追剧追上头了,0
综艺好好笑,0
刷短视频停不下来,0
想去旅游了,0
想去海边玩,0
爬山好累但开心,0
烤肉yyds,0
奶茶三分糖刚刚好,0
又想吃夜宵了,0
早起太折磨人了,0
上课又走神了,0
笔记记了一堆没看,0
下雨天适合睡觉,0
晴天适合出门,0
下雪了好开心,0
雾霾天好难受,0
春天来了好舒服,0
夏天要吃西瓜,0
秋天落叶好好看,0
冬天要裹成粽子,0
今天水逆了好倒霉,0
占卜一下运势,0
无聊到数头发,0
发呆中,0
上课偷吃零食被发现,0
逃课被点名了,0
抄作业被发现了,0
自习室好安静,0
耳机里的歌超好听,0
外放声音真讨厌,0
公共场合要小声,0
礼貌很重要,0
做人开心最重要,0
烦恼都走开,0
一切顺顺利利,0
好运快来,0
霉运退散,0
开心一天是一天,0
难过就哭出来,0
生气伤身体,0
放松一点别紧张,0
慢慢来会好的,0
你真的超棒,0
别否定自己,0
你值得美好,0
加油你可以的,0
未来可期,0
生活小确幸满满,0
平凡日子也美好,0
偶尔摆烂没关系,0
劳逸结合最好,0
别给自己压力,0
吃好喝好没烦恼,0
睡饱饱精神好,0
运动出出汗,0
散步好放松,0
听歌治愈一切,0
看电影放松心情,0
和朋友唠嗑超开心,0
分享欲是浪漫,0
有人陪伴真好,0
孤独是常态,0
学会和自己相处,0
生活普普通通乐在其中,0
小日子过得不错,0
没啥事就是开心,0
随便说说话就好,0
你在就很好啦,0
有你陪着真不错,0
中午吃什么好呢,0
晚上吃啥呀,0
早餐吃包子还是豆浆,0
外卖点什么,0
食堂的饭好难吃,0
新出的菜品好吃吗,0
路边摊好香,0
甜品好治愈,0
冰淇淋好好吃,0
辣条是童年回忆,0
薯片太好吃了,0
炸鸡yyds,0
麻辣烫好香,0
螺蛳粉太上头了,0
饺子好好吃,0
面条好劲道,0
米饭配菜超香,0
水果好新鲜,0
草莓太甜了,0
芒果好好吃,0
香蕉好方便,0
苹果脆甜可口,0
葡萄好甜,0
今天心情超棒,0
有点小委屈,0
气死我了,0
好孤单啊,0
没人陪我,0
你真好,0
谢谢你呀,0
不客气啦,0
没关系哦,0
不好意思呀,0
抱歉啦,0
哈哈哈哈,0
嘿嘿,0
嘻嘻,0
啦啦啦,0
呜呜呜,0
嘤嘤嘤,0
唉,0
哎,0
哦,0
嗯,0
好的,0
知道啦,0
绝了,0
太离谱了,0
大无语事件,0
服了呀,0
救命,0
哇塞,0
太棒了吧,0
好耶,0
冲呀,0
冲鸭,0
奥利给,0
我可以的,0
我最棒,0
自信满满,0
今天也要开心,0
保持快乐,0
别不开心啦,0
没事的啦,0
抱抱你,0
贴贴,0
亲亲,0
么么哒,0
爱你哟,0
你还记得我喜欢吃什么吗,1
你是谁开发的呀,1
帮我查明天早八教室,1
我昨天说的爱好你记了吗,1
你的研发团队是哪个,1
帮我打开灯光,1
我周三的课表是什么,1
你记得我的名字吗,1
关闭屏幕动画,1
我下周的考试安排,1
你能存多少记忆,1
调大音量,1
提醒我明天交作业,1
你是什么型号的机器人,1
帮我查我的待办事项,1
打开风扇,1
我之前说的生日你记得吗,1
你的操作系统是什么,1
帮我设置七点闹钟,1
查看我的记忆记录,1
你还记得我喜欢的颜色吗,1
帮我关闭灯光,1
我今天的日程是什么,1
你记得我讨厌的食物吗,1
你的开发者是谁,1
调小音量,1
帮我打开屏幕,1
我周五有没有课,1
清除我的单条记忆,1
关闭风扇,1
你支持哪些硬件连接,1
帮我锁定屏幕,1
我还有多少天考试,1
解锁屏幕,1
导出我的记忆数据,1
帮我重启机器人,1
查看设备电量,1
帮我关闭机器人,1
取消所有闹钟,1
你能识别哪些方言,1
帮我播放音乐,1
暂停音乐,1
切换歌曲,1
调高屏幕亮度,1
调低屏幕亮度,1
帮我连接Wifi,1
断开Wifi,1
连接蓝牙耳机,1
断开蓝牙设备,1
帮我设置早睡提醒,1
关闭所有提醒,1
我之前说的想去的城市,1
修改我的个人信息,1
更新我的爱好记录,1
帮我打开护眼模式,1
关闭护眼模式,1
启动省电模式,1
退出省电模式,1
帮我查询快递物流,1
提醒我取快递,1
记录新的快递单号,1
帮我设置生日提醒,1
添加好友备注信息,1
查看好友备注,1
统计本月消费记录,1
设置消费上限提醒,1
帮我记录今天的心情,1
查看历史心情记录,1
帮我启动学习模式,1
退出学习模式,1
帮我打开文件管理,1
查找课程笔记文件,1
保存新的笔记内容,1
帮我设置桌面壁纸,1
更换锁屏界面,1
开启消息免打扰,1
关闭免打扰模式,1
帮我测试麦克风,1
校准屏幕触控,1
帮我打印学习资料,1
扫描文档转文字,1
帮我连接校园网,1
切换网络连接,1
查看设备存储容量,1
清理设备缓存,1
设置密码锁屏,1
修改锁屏密码,1
开启指纹解锁,1
关闭屏幕自动旋转,1
帮我打开计算器,1
使用翻译功能,1
查询公交地铁信息,1
记录出行路线,1
提醒我赶车,1
设置会议提醒,1
添加新课程到课表,1
删除无用课程安排,1
批量删除历史记忆,1
开启数据自动备份,1
关闭数据同步,1
恢复备份数据,1
帮我调节机器人音量,1
启动摄像头,1
关闭摄像头,1
帮我设置晨读提醒,1
取消晨读提醒,1
我之前说的考研院校,1
帮我查询学习计划,1
记录运动时长,1
查看健身打卡记录,1
帮我添加阅读书籍,1
查看阅读进度,1
开启睡眠监测,1
关闭睡眠监测,1
帮我打开夜灯,1
关闭夜灯,1
调节氛围灯亮度,1
切换氛围灯颜色,1
帮我查询作业截止时间,1
提醒我写论文,1
帮我记录会议时间,1
查看待办清单,1
添加新待办事项,1
删除待办事项,1
帮我开启语音播报,1
关闭语音播报,1
设置天气预警提醒,1
查询今日天气,1
帮我记录兼职时间,1
查看兼职安排,1
帮我设置考试倒计时,1
清除考试倒计时,1
调整作息计划,1
查看作息时间表,1
恢复机器人默认设置,1
帮我查询我的手机号记录,1
查看宿舍号信息,1
帮我设置午休提醒,1
取消午休提醒,1
帮我打开音乐播放器,1
关闭音乐播放器,1
帮我查询星座运势,1
设置每日运势提醒,1
帮我记录消费金额,1
查看周消费统计,1
帮我开启冥想模式,1
退出冥想模式,1
帮我查找指定文件,1
重命名保存文件,1
帮我连接外设设备,1
断开外设连接,1
查看机器人更新日志,1
升级机器人系统,1
帮我设置闹钟铃声,1
修改闹钟音量,1
帮我查询图书馆开放时间,1
提醒我去图书馆,1
帮我记录社团活动时间,1
查看社团活动安排,1
帮我设置聚餐提醒,1
查询放假时间,1
帮我记录回家日期,1
查看车票信息,1
帮我设置复习提醒,1
查询补考时间,1
帮我记录答辩时间,1
查看毕业流程,1
帮我开启护眼提醒,1
关闭护眼提醒,1
帮我调节设备温度,1
查询设备状态,1
帮我设置喝水提醒,1
取消喝水提醒,1
帮我记录跑步里程,1
查看运动数据,1
帮我打开备忘录,1
保存备忘录内容,1
删除备忘录,1
帮我查询课程学分,1
记录学分信息,1
帮我设置奖学金提醒,1
查询竞赛时间,1
帮我记录比赛信息,1
查看比赛安排,1
帮我开启自习提醒,1
关闭自习提醒,1
帮我查询食堂营业时间,1
记录食堂菜品,1
帮我设置外卖提醒,1
查询外卖配送时间,1
帮我记录电影票信息,1
查看观影安排,1
帮我设置演唱会提醒,1
查询演出时间,1
帮我开启健身提醒,1
关闭健身提醒,1
帮我查询图书馆占座规则,1
记录占座时间,1
帮我设置自习室提醒,1
查看自习室空位,1
帮我开启快递提醒,1
关闭快递提醒,1
帮我记录生日信息,1
查看所有生日提醒,1
帮我设置节日提醒,1
查询节日日期,1
